Ville,Indice,Valeur,Niveau
Lyon,Quality of Life inBourg-en-Bresse,80.62 km,N/A
Lyon,Quality of Life inRoanne,96.99 km,N/A
Lyon,Quality of Life inOyonnax,97.89 km,N/A
Lyon,Quality of Life inChambery,103.17 km,N/A
Lyon,Quality of Life inGrenoble,107.04 km,N/A
Toulouse,,,
Toulouse,Quality of Life Index,181.63,N/A
Toulouse,Purchasing Power Index,124.32,Very High
Toulouse,Safety Index,50.27,Moderate
Toulouse,Health Care Index,78.85,High
Toulouse,Climate Index,91.87,Very High
Toulouse,Cost of Living Index,58.07,Low
Toulouse,Property Price to Income Ratio,7.17,Low
Toulouse,Traffic Commute Time Index,32.78,Low
Toulouse,Pollution Index,39.05,Low
Toulouse,ƒQuality of Life Index,181.63,Very High
Toulouse,Your Email Address,,N/A
Toulouse,Quality of Life inPerpignan,206.41 km,N/A
Toulouse,Quality of Life inBordeaux,243.46 km,N/A
Toulouse,Quality of Life inMontpellier,244.51 km,N/A
Toulouse,Quality of Life inLimoges,289.90 km,N/A
Toulouse,Quality of Life inNimes,291.98 km,N/A
Toulouse,Quality of Life inAvignon,332.05 km,N/A
Toulouse,Quality of Life inAix-en-Provence,391.10 km,N/A
Nice,,,
Nice,Quality of Life Index,158.98,N/A
Nice,Purchasing Power Index,106.45,High
Nice,Safety Index,43.77,Moderate
Nice,Health Care Index,85.50,Very High
Nice,Climate Index,95.11,Very High
Nice,Cost of Living Index,60.93,Moderate
Nice,Property Price to Income Ratio,10.84,Moderate
Nice,Traffic Commute Time Index,42.67,High
Nice,Pollution Index,49.69,Moderate
Nice,ƒQuality of Life Index,158.98,High
Nice,Your Email Address,,N/A
Nice,Quality of Life inAntibes,23.70 km,N/A
Nice,Quality of Life inToulon,150.41 km,N/A
Nice,Quality of Life inAix-en-Provence,175.24 km,N/A
Nice,Quality of Life inMarseille,206.98 km,N/A
Nice,Quality of Life inAvignon,262.25 km,N/A
Nice,Quality of Life inNimes,279.92 km,N/A
Nice,Quality of Life inMontpellier,326.09 km,N/A
Nice,Quality of Life inValence,372.26 km,N/A
Nantes,,,
Nantes,Quality of Life Index,171.19,N/A
Nantes,Purchasing Power Index,100.76,High
Nantes,Safety Index,41.09,Moderate
Nantes,Health Care Index,79.43,High
Nantes,Climate Index,91.59,Very High
Nantes,Cost of Living Index,60.29,Moderate
Nantes,Property Price to Income Ratio,9.17,Moderate
Nantes,Traffic Commute Time Index,31.05,Low
Nantes,Pollution Index,31.86,Low
Nantes,ƒQuality of Life Index,171.19,Very High
Nantes,Your Email Address,,N/A
Nantes,Quality of Life inAngers,92.66 km,N/A
Nantes,Quality of Life inRennes,107.37 km,N/A
Nantes,Quality of Life inLe Mans,185.16 km,N/A
Nantes,Quality of Life inMortain,200.19 km,N/A
Nantes,Quality of Life inTours,216.43 km,N/A
Nantes,Quality of Life inPoitiers,217.66 km,N/A
Nantes,Quality of Life inCaen,287.76 km,N/A
Nantes,Quality of Life inBrest,297.36 km,N/A
Nantes,Quality of Life inChartres,297.92 km,N/A
Nantes,Quality of Life inLimoges,319.29 km,N/A
Montpellier,,,
Montpellier,Toulouse,242.82 km,N/A
Montpellier,Quality of Life Index,164.60,N/A
Montpellier,Purchasing Power Index,103.70,High
Montpellier,Safety Index,38.95,Low
Montpellier,Health Care Index,83.33,Very High
Montpellier,Climate Index,92.22,Very High
Montpellier,Cost of Living Index,58.64,Low
Montpellier,Property Price to Income Ratio,10.34,Moderate
Montpellier,Traffic Commute Time Index,30.75,Low
Montpellier,Pollution Index,43.27,Moderate
Montpellier,ƒQuality of Life Index,164.60,Very High
Montpellier,Your Email Address,,N/A
Montpellier,Quality of Life inNimes,54.68 km,N/A
Montpellier,Quality of Life inAvignon,95.08 km,N/A
Montpellier,Quality of Life inAix-en-Provence,154.14 km,N/A
Montpellier,Quality of Life inPerpignan,154.64 km,N/A
Montpellier,Quality of Life inMarseille,168.61 km,N/A
Montpellier,Quality of Life inValence,203.15 km,N/A
Montpellier,Quality of Life inToulon,232.85 km,N/A
Montpellier,Quality of Life inToulouse,242.82 km,N/A
Montpellier,Quality of Life inGrenoble,294.99 km,N/A
Montpellier,Quality of Life inLyon,303.20 km,N/A
Strasbourg,,,
Strasbourg,Quality of Life Index,174.89,N/A
Strasbourg,Purchasing Power Index,110.13,Very High
Strasbourg,Safety Index,59.28,Moderate
Strasbourg,Health Care Index,80.14,Very High
Strasbourg,Climate Index,84.71,Very High
Strasbourg,Cost of Living Index,59.30,Low
Strasbourg,Property Price to Income Ratio,8.08,Moderate
Strasbourg,Traffic Commute Time Index,31.16,Low
Strasbourg,Pollution Index,44.26,Moderate
Strasbourg,ƒQuality of Life Index,174.89,Very High
Strasbourg,Your Email Address,,N/A
Strasbourg,Quality of Life inMulhouse,115.30 km,N/A
Strasbourg,Quality of Life inNancy,156.11 km,N/A
Strasbourg,Quality of Life inMetz,162.30 km,N/A
Strasbourg,Quality of Life inDijon,337.04 km,N/A
Strasbourg,Quality of Life inReims,347.31 km,N/A
Bordeaux,,,
Bordeaux,Toulouse,246.93 km,N/A
Bordeaux,Quality of Life Index,177.22,N/A
Bordeaux,Purchasing Power Index,110.57,Very High
Bordeaux,Safety Index,50.68,Moderate
Bordeaux,Health Care Index,84.17,Very High
Bordeaux,Climate Index,93.30,Very High
Bordeaux,Cost of Living Index,59.53,Low
Bordeaux,Property Price to Income Ratio,10.40,Moderate
Bordeaux,Traffic Commute Time Index,29.47,Low
Bordeaux,Pollution Index,39.05,Low
Bordeaux,ƒQuality of Life Index,177.22,Very High
Bordeaux,Your Email Address,,N/A
Bordeaux,Quality of Life inLimoges,221.14 km,N/A
Bordeaux,Quality of Life inToulouse,246.93 km,N/A
Bordeaux,Quality of Life inPoitiers,250.76 km,N/A
Bordeaux,Quality of Life inNantes,329.86 km,N/A
Bordeaux,Quality of Life inAngers,347.49 km,N/A
Bordeaux,Quality of Life inTours,350.14 km,N/A
Lille,,,
Lille,Paris,220.62 km,N/A
Lille,Quality of Life Index,168.63,N/A
Lille,Purchasing Power Index,112.61,Very High
Lille,Safety Index,49.51,Moderate
Lille,Health Care Index,80.63,Very High
Lille,Climate Index,87.78,Very High
Lille,Cost of Living Index,56.42,Low
Lille,Property Price to Income Ratio,7.07,Low
Lille,Traffic Commute Time Index,31.23,Low
Lille,Pollution Index,51.54,Moderate
Lille,ƒQuality of Life Index,168.63,Very High
Lille,Your Email Address,,N/A
Lille,Quality of Life inAmiens,117.36 km,N/A
Lille,Quality of Life inReims,199.52 km,N/A
Lille,Quality of Life inParis,220.62 km,N/A
Lille,Quality of Life inChaville,232.25 km,N/A
Lille,Quality of Life inGuyancourt,249.64 km,N/A
Lille,Quality of Life inRouen,256.45 km,N/A
Lille,Quality of Life inChartres,306.48 km,N/A
Lille,Quality of Life inLe Havre,316.45 km,N/A
Lille,Quality of Life inOrleans,348.56 km,N/A
Lille,Quality of Life inMetz,364.60 km,N/A
Rennes,,,
Rennes,Quality of Life Index,183.03,N/A
Rennes,Purchasing Power Index,127.06,Very High
Rennes,Safety Index,45.93,Moderate
Rennes,Health Care Index,87.50,Very High
Rennes,Climate Index,90.40,Very High
Rennes,Cost of Living Index,53.36,Low
Rennes,Property Price to Income Ratio,9.03,Moderate
Rennes,Traffic Commute Time Index,22.78,Very Low
Rennes,Pollution Index,45.21,Moderate
Rennes,ƒQuality of Life Index,183.03,Very High
Rennes,Your Email Address,,N/A
Rennes,Quality of Life inGuipry,43.03 km,N/A
Rennes,Quality of Life inRieux,76.90 km,N/A
Rennes,Quality of Life inMayenne,85.26 km,N/A
Rennes,Quality of Life inMortain,109.64 km,N/A
Rennes,Quality of Life inNantes,112.65 km,N/A
Rennes,Quality of Life inDonges,115.31 km,N/A
Rennes,Quality of Life inAngers,128.00 km,N/A
Rennes,Quality of Life inChateaubriant,128.69 km,N/A
Rennes,Quality of Life inLe Mans,152.42 km,N/A
Rennes,Quality of Life inLorient,153.80 km,N/A
